Committee,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Target Audience,Rainplan Location,,,,,
ON-CAMPUS,First-Year Orientation Check-In,8/31/2019, 9:00 AM,8/31/2019,4:00 PM,,"Ready to start Orientation week? Attending First-year Orientation Check-In is necessary for all students participating in Waterloo Orientation. You will receive your wristband that will enable access to Orientation events throughout the week as well as your Orientation kit, shirt and official schedule.  Bring your WatCard and have your QR code from the Portal app ready to go!

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No",Student Life Centre Great Hall,ON-CAMPUS,,,,,,
SJU,First-Year Orientation Check-In,8/31/2019, 3:00 PM,8/31/2019,4:00 PM,,"Ready to start Orientation week? Attending First-year Orientation Check-In is necessary for all students participating in Waterloo Orientation. You will receive your wristband that will enable access to Orientation events throughout the week as well as your Orientation kit, shirt and official schedule.  Bring your WatCard and have your QR code from the Portal app ready to go!

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No",Student Life Centre Great Hall,SJU,,,,,,
ON-CAMPUS,First-Year Orientation Check-In,9/1/2019,9:00 AM,9/1/2019,4:00 PM,,"Ready to start Orientation week? Attending First-year Orientation Check-In is necessary for all students participating in Waterloo Orientation. You will receive your wristband that will enable access to Orientation events throughout the week as well as your Orientation kit, shirt and official schedule.  Bring your WatCard and have your QR code from the Portal app ready to go!

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",Student Life Centre Great Hall,On-CAMPUS,,,,,,
CONRAD,First-Year Orientation Check-In,9/1/2019,4:30 PM,9/1/2019,5:00 PM,,"Ready to start Orientation week? Attending First-year Orientation Check-In is necessary for all students participating in Waterloo Orientation. You will receive your wristband that will enable access to Orientation events throughout the week as well as your Orientation kit, shirt and official schedule.  Bring your WatCard and have your QR code from the Portal app ready to go!

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",Student Life Centre Great Hall,CONRAD,,,,,,
Renison,First-Year Orientation Check-In,9/1/2019,2:30 PM,9/1/2019,3:30 PM,,"Ready to start Orientation week? Attending First-year Orientation Check-In is necessary for all students participating in Waterloo Orientation. You will receive your wristband that will enable access to Orientation events throughout the week as well as your Orientation kit, shirt and official schedule.  Bring your WatCard and have your QR code from the Portal app ready to go!

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: No
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",Student Life Centre Great Hall,RENISON,,,,,,
Engineering,For Your Information (FYI),9/2/2019, 9:00 AM,9/2/2019, 12:30 PM,,"Join us at For Your Information (FYI) - A conference-style event designed to help you in your transition to UWaterloo! During the TedTalk inspired keynote you'll hear from faculty, staff and upper year students about what they would tell their first-year self. Then, you'll attend your choice of sessions focusing on topics designed to introduce you to various aspects of life at the University of Waterloo. Check out the schedule in your FYI booklet that you'll receive when you arrive at the event!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Math & Computers (MC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",PAC Main Gym,AM FYI,,,,,,
Software,For Your Information (FYI),9/2/2019, 9:00 AM,9/2/2019, 12:30 PM,,"Join us at For Your Information (FYI) - A conference-style event designed to help you in your transition to UWaterloo! During the TedTalk inspired keynote you'll hear from faculty, staff and upper year students about what they would tell their first-year self. Then, you'll attend your choice of sessions focusing on topics designed to introduce you to various aspects of life at the University of Waterloo. Check out the schedule in your FYI booklet that you'll receive when you arrive at the event!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Math & Computers (MC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",PAC Main Gym,AM FYI,,,,,,
AHS,For Your Information (FYI),9/2/2019, 9:00 AM,9/2/2019, 12:30 PM,,"Join us at For Your Information (FYI) - A conference-style event designed to help you in your transition to UWaterloo! During the TedTalk inspired keynote you'll hear from faculty, staff and upper year students about what they would tell their first-year self. Then, you'll attend your choice of sessions focusing on topics designed to introduce you to various aspects of life at the University of Waterloo. Check out the schedule in your FYI booklet that you'll receive when you arrive at the event!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Math & Computers (MC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",PAC Main Gym,AM FYI,,,,,,
Science,For Your Information (FYI),9/2/2019, 9:00 AM,9/2/2019, 12:30 PM,,"Join us at For Your Information (FYI) - A conference-style event designed to help you in your transition to UWaterloo! During the TedTalk inspired keynote you'll hear from faculty, staff and upper year students about what they would tell their first-year self. Then, you'll attend your choice of sessions focusing on topics designed to introduce you to various aspects of life at the University of Waterloo. Check out the schedule in your FYI booklet that you'll receive when you arrive at the event!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Math & Computers (MC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",PAC Main Gym,AM FYI,,,,,,
Arts,For Your Information (FYI),9/2/2019, 1:30 PM,9/2/2019, 5:00 PM,,"Join us at For Your Information (FYI) - A conference-style event designed to help you in your transition to UWaterloo! During the TedTalk inspired keynote you'll hear from faculty, staff and upper year students about what they would tell their first-year self. Then, you'll attend your choice of sessions focusing on topics designed to introduce you to various aspects of life at the University of Waterloo. Check out the schedule in your FYI booklet that you'll receive when you arrive at the event!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Math & Computers (MC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",PAC Main Gym ,PM FYI,,,,,,
SJ Arts,For Your Information (FYI),9/2/2019, 1:30 PM,9/2/2019, 5:00 PM,,"Join us at For Your Information (FYI) - A conference-style event designed to help you in your transition to UWaterloo! During the TedTalk inspired keynote you'll hear from faculty, staff and upper year students about what they would tell their first-year self. Then, you'll attend your choice of sessions focusing on topics designed to introduce you to various aspects of life at the University of Waterloo. Check out the schedule in your FYI booklet that you'll receive when you arrive at the event!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Math & Computers (MC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",PAC Main Gym ,PM FYI,,,,,,
Math,For Your Information (FYI),9/2/2019, 1:30 PM,9/2/2019, 5:00 PM,,"Join us at For Your Information (FYI) - A conference-style event designed to help you in your transition to UWaterloo! During the TedTalk inspired keynote you'll hear from faculty, staff and upper year students about what they would tell their first-year self. Then, you'll attend your choice of sessions focusing on topics designed to introduce you to various aspects of life at the University of Waterloo. Check out the schedule in your FYI booklet that you'll receive when you arrive at the event!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Math & Computers (MC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",PAC Main Gym ,PM FYI,,,,,,
Environment,For Your Information (FYI),9/2/2019, 1:30 PM,9/2/2019, 5:00 PM,,"Join us at For Your Information (FYI) - A conference-style event designed to help you in your transition to UWaterloo! During the TedTalk inspired keynote you'll hear from faculty, staff and upper year students about what they would tell their first-year self. Then, you'll attend your choice of sessions focusing on topics designed to introduce you to various aspects of life at the University of Waterloo. Check out the schedule in your FYI booklet that you'll receive when you arrive at the event!

Event information:
Energy/Activity Level: MODERATE
Noise Level: MODERATE
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Math & Computers (MC)
This event will include food: YES
This event will occur outside (weather permitting): Yes, some
",PAC Main Gym ,PM FYI,,,,,,
ON-CAMPUS,"Warrior Welcome (for residents of V1, MKV, St. Paul's & St. Jerome's)",8/31/2019, 6:30 PM,8/31/2019, 7:30 PM,,"Get excited for your first official welcome to the University of Waterloo! At Warrior Welcome, you are introduced to important elements of life at the University of Waterloo and what you can expect during Orientation. You’ll hear from University of Waterloo President Feridun Hamdullahpur and Waterloo Undergraduate Student Association President Michael Beauchemin, and hear from former defenseman of the Kitchener Rangers and founder of Heroic Minds, Ben Fanelli. #GoBlackGoGold 

Event information:
Energy/Activity Level: HIGH
Noise Level: HIGH
Low Lighting: Yes, some
Closest Inclusive & Barrier Free Washroom: Student Life Centre (SLC)
This event will include food: NO
This event will occur outside (weather permitting): No
",PAC Main Gym,WW1,N/A,,,,,
